expirationdate,conditionrestrictions
2014-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2019-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2018-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2019-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2016-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2017-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2015-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2018-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2017-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2017-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2016-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2019-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2014-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2014-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2016-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2017-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2018-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2018-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2016-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2014-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2016-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2013-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
2017-12-31T00:00:00.000,PERMIT ALLOWS ACCESS THROUGH THE CHURCH STREET BUS WAY AT BATTERY PARK AND GREENWICH STREET ONLY.
